Name,Species,Class,Hlt,Atk,Int,Def,Spd,Total,R. Depth,Source,Trait Name,Item Name,Trait Description
Scotchpion,Alemental,Chaos,33,18,18,20,20,109,37,Gambling Dwarf Shop,Drunken Rage,Bottle of Scotchpion,"At the start of each enemy's turn, they have a 5% chance to attack one of their allies for each debuff they have. This trait does not stack."
Vermowl,Alemental,Sorcery,33,18,18,18,18,105,37,Gambling Dwarf Shop,False Epiphany,Bottle of Vermowl,Enemies' spells cost 1 more Charge for every 2 debuffs they have. This trait does not stack.
Whiskull,Alemental,Death,31,19,19,19,19,107,37,Gambling Dwarf Shop,Hangover,Bottle of Whiskull,"At the start of each enemy's turn, this creature has a 35% chance to Cast a random Booze Spell. This trait does not stack."
Winegel,Alemental,Life,34,19,19,19,19,110,37,Gambling Dwarf Shop,Hangover Cure,Bottle of Winegel,"After your creatures heal an enemy, it has a 3% chance to be killed for each debuff it has. This trait does not stack."
Spirits,Alemental,Life,34,19,19,19,19,110,37,Gambling Dwarf Shop,Numbed Pain,Bottle of Spirits,"When your creatures would take damage from an attack or spell, they have a 5% chance to take 0 damage for each debuff they have. This trait does not stack."
Grenale,Alemental,Sorcery,33,18,18,18,18,105,37,Gambling Dwarf Shop,Slosh,Bottle of Grenale,"After your creatures manually Cast a spell, a random enemy is afflicted with a random debuff. This trait does not stack."
Nexus Amaranth,Amaranth,Life,43,15,15,25,15,113,37,Eternity's End (Spires),Collective Unconscious,Nexus Splinters,"After your creatures gain Defense, they gain an equal amount of Attack. This trait does not stack."
Radiant Amaranth,Amaranth,Life,39,15,15,25,15,109,90,Eternity's End (Spires),Crystallization,Radiant Splinters,"After this creature Casts a spell, your creatures gain 15% Defense."
Stardust Amaranth,Amaranth,Life,43,15,15,25,15,113,37,Eternity's End (Spires),Exalted Detriment,Stardust Splinters,Your creatures deal additional damage with attacks equal to 30% of their Defense. This trait does not stack.
Amaranthine,Amaranth,Life,39,15,15,25,15,109,75,Eternity's End (Spires),Incandescence,Amaranthine Splinters,"At the start of battle, this creature gains Maximum Health equal to 100% of its Defense."
Planetary Amaranth,Amaranth,Life,40,15,15,25,15,110,37,Eternity's End (Spires),Jailbreak,Planetary Splinters,Your creatures have 40% more Defense. This trait does not stack.
Enclave Amaranth,Amaranth,Life,43,15,15,25,15,113,60,Eternity's End (Spires),Memento Mori,Enclave Splinters,"After this creature is Attacked, the enemy takes damage equal to 75% of this creature's Defense."
Solar Amaranth,Amaranth,Life,40,15,15,25,15,110,415,Chaos Guild,Solar Flare,Solar Drink,"After this creature is Attacked while it is Defending or Provoking, it Casts Stellar Flare."
Lost Amaranth,Amaranth,Life,36,16,16,26,16,110,45,Eternity's End (Spires),Soulstone Splinter,Unguided Splinters,"After your creatures are Attacked, they gain 20% Defense. This trait does not stack."
Amphisbaena Prospector,Amphisbaena,Life,29,17,17,17,22,102,75,"Faraway Enclave, Where the Dead Ships Dwell, Amalgam Gardens",Careful What You Wish For,Prospector Cord,"After your creatures gain a buff, they gain an additional random buff, but their buffs only last for 1 turn. This trait does not stack."
Amphisbaena Vaccinator,Amphisbaena,Life,32,17,17,17,22,105,40,"Faraway Enclave, Where the Dead Ships Dwell, Amalgam Gardens",Grim Ailment,Vaccinator Cord,"After your creatures apply a debuff, they apply an additional random debuff, but their debuffs only last for 1 turn. This trait does not stack."
Amphisbaena Chef,Amphisbaena,Life,32,17,17,17,22,105,40,"Faraway Enclave, Where the Dead Ships Dwell, Amalgam Gardens",Multicast,Chef Cord,"Your creatures Cast spells 1 additional time, but their spells are 30% less potent. This trait does not stack."
Amphisbaena Arbitrator,Amphisbaena,Life,32,17,17,17,22,105,40,"Faraway Enclave, Where the Dead Ships Dwell, Amalgam Gardens",Multistrike,Attorney Cord,"Your creatures Attack 1 additional time, but all their attacks deal 30% less damage. This trait does not stack."
Amphisbaena Inspector,Amphisbaena,Life,33,18,17,17,22,107,60,"Faraway Enclave, Where the Dead Ships Dwell, Amalgam Gardens",Unbidden Miracle,Inspector Cord,"After your creatures are healed, they are healed an additional time, but they receive 50% less healing from all sources. This trait does not stack."
Amphisbaena Gardener,Amphisbaena,Life,32,17,17,17,22,105,45,"Faraway Enclave, Where the Dead Ships Dwell, Amalgam Gardens",Unrealized Potential,Horticulturist Cord,"After your creatures gain stats, they gain these stats an additional time, but they gain 50% fewer stats. This trait does not stack."
Imperial Angel,Angel,Life,27,22,17,17,22,105,25,Surathli God Shop (Favor Rank 14),Black Hole Halo,Imperial Claymore,This creature's attacks deal 75% more damage and afflict the target with Scorned.
Aegis Angel,Angel,Life,31,21,16,17,22,107,25,Surathli God Shop (Favor Rank 25),Hand of Light,Aegis Claymore,This creature's attacks deal 75% more damage and grant this creature Shelled.
Firewound Angel,Angel,Life,31,21,16,16,21,105,25,Surathli God Shop (Favor Rank 1),Pyre,Firewound Claymore,This creature's attacks deal 75% more damage and afflict the target with Burning.
Icewound Angel,Angel,Life,26,21,16,16,21,100,25,Surathli God Shop (Favor Rank 5),Rime,Icewound Claymore,This creature's attacks deal 75% more damage and afflict the target with Frozen.
Doomblight Angel,Angel,Life,32,22,17,14,19,104,25,Surathli God Shop (Favor Rank 11),Scourge,Doomblight Claymore,This creature's attacks deal 75% more damage and afflict the target with Weak.
Angel Soulslayer,Angel,Life,31,21,16,16,21,105,25,Surathli God Shop (Favor Rank 18),Soul to Keep,Soulslayer claymore,"This creature's attacks deal 75% more damage. After this creature Attacks, it gains a copy of the target's trait."
Goldblight Angel,Angel,Life,31,21,16,16,21,105,25,Surathli God Shop (Favor Rank 8),Stasis,Goldblight Claymore,This creature's attacks deal 75% more damage and afflict the target with Confused.
Thunderwound Angel,Angel,Life,26,21,21,16,16,100,415,Life Guild,Storm of the Century,Thunderwound Claymore,"After this creature Attacks, it Casts Lightning Storm."
Brain Animation,Animation,Sorcery,40,18,18,18,18,112,64,Astral Gallery (Statues),Red Tether,Red Shackle,"After an adjacent ally Attacks, this creature Attacks the enemy as well. This trait does not work with creatures that also have this trait."
Ear Animation,Animation,Sorcery,39,17,17,17,17,107,64,Astral Gallery (Statues),Green Tether,Green Shackle,"After an adjacent ally heals a creature, this creature is healed for the same amount and gains a Barrier that absorbs damage equal to 100% of the amount healed. This trait does not work with creatures that also have this trait."
Eye Animation,Animation,Sorcery,39,17,17,17,17,107,64,Astral Gallery (Statues),Yellow Tether,Yellow Shackle,"After this creature deals critical damage, its adjacent allies gain 30% Attack and Speed. This creature always has Savage."
Feet Animation,Animation,Sorcery,36,18,18,18,18,108,64,Astral Gallery (Statues),Blue Tether,Blue Shackle,"When an adjacent creature would take attack or spell damage or gain a buff or debuff, this creature becomes the new target instead."
Hand Animation,Animation,Sorcery,40,15,18,18,18,109,64,Astral Gallery (Statues),Silver Tether,Silver Shackle,"After an adjacent creature is killed, this creature gains 60% of its stats (other than Health)."
Lip Animation,Animation,Sorcery,40,15,18,18,18,109,75,Astral Gallery (Statues),Purple Tether,Purple Shackle,"After an adjacent ally Casts a spell, this creature Casts that spell as well. This trait does not work with creatures that also have this trait."
Animatus,Animatus,Death,40,25,25,25,25,140,19 (1 for Animator),Animator Specialization & Starter,Brilliant Creation,No Material Exists,"This creature has 15% more Attack and Intelligence for each dead creature on your side, and 15% more Defense and Speed for each living creature on your side."
Apis Warrior,Apis,Life,27,22,12,22,22,105,90,"The Barrens, Overgrown Temple",Crunch,Warrior Headdress,This creature's attacks deal 75% more damage and afflict the target with Vulnerable.
Apis Guardian,Apis,Life,26,21,11,21,21,100,46,"The Barrens, Overgrown Temple",Grit,Guardian Headdress,"At the start of battle, this creature's Attack is added to its Health and Defense, then its Attack is set to its minimum value."
Apis Endurer,Apis,Life,33,23,13,20,20,109,46,"The Barrens, Overgrown Temple",Long Live,Endurer Headdress,This creature takes 2% less damage from attacks (up to 90%) for every 1% Health it is missing.
Apis Majesty,Apis,Life,32,22,12,19,19,104,60,"The Barrens, Overgrown Temple",Necessitarianism,Majesty Headdress,"At the start of battle, this creature gains 100% Attack, Intelligence, Defense, and Speed. This creature deals 70% less damage."
Apis Adolescent,Apis,Life,26,21,11,21,21,100,415,Nature Guild,Primed And Ready,Adolescent Egg,"After an enemy Casts a spell on all your creatures, this creature Attacks it for 300% normal damage."
Apis Protector,Apis,Life,31,21,11,21,21,105,75,"The Barrens, Overgrown Temple",Righteous Concession,Protector Headdress,This creature and the creatures adjacent to it are resistant to debuffs.
Apis Charger,Apis,Life,32,21,11,21,21,106,46,"The Barrens, Overgrown Temple",Threshold,Charger Headdress,"After this creature Attacks, it afflicts the target with Scorned and Disarmed."
Apis Defender,Apis,Life,28,18,13,23,23,105,46,"The Barrens, Overgrown Temple",Vigilance,Defender Headdress,This creature intercepts attacks on its allies.
Corox Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,75,Great Pandemonium (Eggs),Culmination,Corox Sinew,Your creatures' spells deal 5% more damage for each spell all your creatures have manually Cast in the current battle. This trait does not stack.
Zarox Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,60,Great Pandemonium (Eggs),Mungus Harbinger,Zarox Sinew,Your creatures take 10% less damage for each turn they've taken in the current battle. Maximum of 90% damage reduction. This trait does not stack.
Inox Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,45 (1 for Reaver),"Great Pandemonium (Eggs), Reaver Starter",Naxor Harbinger,Inox SInew,Your creatures deal 40% more damage for each turn they've taken in the current battle. This trait does not stack.
Zzyia Apocalypse,Apocalypse,Chaos,32,18,18,18,18,104,415,Chaos Guild,Phase Out,Zzyia Sinew,Your creatures have a 5% chance (up to 50%) to avoid damage for each turn they've taken in the current battle. This trait does not stack.
Gorum Apocalypse,Apocalypse,Chaos,38,16,16,21,21,112,30,Great Pandemonium (Eggs),Quahn Harbinger,Gorum Sinew,Your creatures have a 25% chance to resist debuffs for each turn they've taken in the current battle. This trait does not stack.
Agor Apocalypse,Apocalypse,Chaos,40,15,15,20,20,110,22,Great Pandemonium (Eggs),Urdox Harbinger,Agor Sinew,Your creatures deal 50% more critical damage for each turn they've taken in the current battle. This trait does not stack.
Aaxer Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,22,Great Pandemonium (Eggs),Urh Harbinger,Aaxer Sinew,"Your creatures have 15% more Attack, Intelligence, Defense, and Speed for each turn they've taken in the current battle. This trait does not stack."
Woolly Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,60,Arachnid Nest (Eggs),Arachnophobia,Woolly Mandible,Enemies with Snared take 65% more damage from their Poison debuff. This trait does not stack.
Ancient Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,75,Arachnid Nest (Eggs),Consume,Ancient Mandible,"When this creature Attacks an enemy with Snared, it deals 150% more damage, recovers Health equal to 100% of the damage dealt, and removes this debuff."
Goliath Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,45,Arachnid Nest (Eggs),Entrapment,Goliath Mandible,"After this creature is Attacked, it afflicts the enemy with Snared."
Canopy Arachnalisk,Arachnalisk,Nature,22,23,23,13,18,99,34,Arachnid Nest (Eggs),Here to Die,Canopy Mandible,"After an enemy is afflicted with either Bleeding or Poisoned, this creature afflicts them with whichever of these debuffs the target doesn't already have."
Creeping Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,90,Arachnid Nest (Eggs),Hopelessness,Creeping Mandible,Enemies with Snared take 50% more damage. This trait does not stack.
Razorweb Arachnalisk,Arachnalisk,Nature,36,16,16,16,26,110,415,Nature Guild,Jagged Edges,Razorweb Mandible,"At the start of each creature's turn, enemies with Snared take damage equal to 10% of this creature's Speed. This trait does not stack."
Dragonlair Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,34,Arachnid Nest (Eggs),Numbing Venom,Dragonlair Mandible,"After an enemy takes damage from Poisoned, they have a 50% chance to be afflicted with Snared. This trait does not stack."
Spitting Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,34,Arachnid Nest (Eggs),Spit Poison,Spitting Mandible,"After this creature is Attacked, it afflicts enemies with Poisoned. If enemies already have this debuff, its potency is increased by 30% instead."
Living Arbiter,Arbiter,Nature,28,18,18,21,21,106,64,Land of Breath & Balance (Robes),In Favor of Survival,Vital Scales,"After start-of-battle effects are determined, 40% of this creature's Maximum Health is added to that of your other creatures."
Feeling Arbiter,Arbiter,Nature,29,19,19,19,19,105,64,Land of Breath & Balance (Robes),In Favor of Destruction,Emoting Scales,"After start-of-battle effects are determined, 40% of this creature's Attack is added to that of your other creatures."
Thinking Arbiter,Arbiter,Nature,30,20,20,19,19,108,64,Land of Breath & Balance (Robes),In Favor of Creation,Brainy Scales,"After start-of-battle effects are determined, 40% of this creature's Intelligence is added to that of your other creatures."
Breathing Arbiter,Arbiter,Nature,30,19,19,19,19,106,64,Land of Breath & Balance (Robes),In Favor of Protection,Durable Scales,"After start-of-battle effects are determined, 40% of this creature's Defense is added to that of your other creatures."
Moving Arbiter,Arbiter,Nature,29,19,19,19,19,105,64,Land of Breath & Balance (Robes),In Favor of Escape,Swift Scales,"After start-of-battle effects are determined, 40% of this creature's Speed is added to that of your other creatures."
Final Arbiter,Arbiter,Nature,30,20,20,19,19,108,64,Land of Breath & Balance (Robes),In Favor of All,Scaly Scales,"After start-of-battle effects are determined, this creature's lowest stat is set equal to its highest stat."
Aspect of Change,Aspect,Nature,29,19,19,14,24,105,16,Meraxis God Shop (Favor Rank 18),Call of Evolution,Change Figment,"After this creature dodges an attack, it Casts one of its spells. In addition, this creature has an independent 50% chance to dodge attacks."
Aspect of Seasons,Aspect,Nature,29,19,19,14,24,105,16,Meraxis God Shop (Favor Rank 14),Call of the Aspect,Seasons Figment,"This creature has an independent 12% chance to dodge attacks for each different type of Aspect fighting on your side. When it does, your Aspects gain 20% Attack, Intelligence, Defense, and Speed."
Springtime Aspect,Aspect,Nature,29,19,19,14,24,105,16,Meraxis God Shop (Favor Rank 8),Call of the Bloom,Springtime Figment,"After this creature dodges, your creatures recover 30% Health. In addition, this creature has an independent 50% chance to dodge attacks."
Aspect of Decay,Aspect,Death,27,17,17,17,27,105,415,Death Guild,Call of the Grave,Decay Figment,"After this creature dodges, enemies lose 20% of their highest stat. In addition, this creature has an independent 50% chance to dodge attacks. This trait does not stack."
Autumn Aspect,Aspect,Nature,29,19,19,14,24,105,16,Meraxis God Shop (Favor Rank 1),Call of the Harvest,Autumn Figment,"Your creatures always have Agile. In addition, this creature has an independent 50% chance to dodge attacks."
Summer Aspect,Aspect,Nature,26,19,19,14,24,102,16 (1 for Monk),"Meraxis God Shop (Favor Rank 5), Monk Starter",Call of the Solstice,Summer Figment,"After this creature dodges, it attacks the enemy. In addition, this creature has an independent 50% chance to dodge attacks."
Winter Aspect,Aspect,Nature,27,17,19,14,24,101,16,Meraxis God Shop (Favor Rank 11),Call of the Tundra,Winter Figment,"After this creature dodges, it Casts Snowstorm. In addition, this creature has an independent 50% chance to dodge attacks."
Aspect of Time,Aspect,Nature,29,19,19,14,24,105,16,Meraxis God Shop (Favor Rank 25),Call of Time,Time Figment,"After this creature dodges an attack, it gains a Barrier that absorbs damage equal to 50% of its Speed. In addition, this creature has an independent 50% chance to dodge attacks."
Asura Bonebreaker,Asura,Chaos,35,25,15,10,25,110,31,Cutthroat Jungle (Totems),Ferocity,Bonebreaker Tattoo,Your creatures always have Savage and have a 25% greater chance to deal critical damage. This trait does not stack.
Asura Strangler,Asura,Chaos,32,22,15,10,25,104,60,Cutthroat Jungle (Totems),Lacerate,Strangler Tattoo,"After your creatures deal critical damage, this creature afflicts the target with Silenced and Bleeding."
Asura Fleshstomper,Asura,Chaos,34,24,14,9,24,105,75,Cutthroat Jungle (Totems),Marked With Blood,Fleshstomper Tattoo,"After your other creatures deal critical damage with attacks, this creature Attacks the target."
Asura Heartripper,Asura,Chaos,35,25,15,10,25,110,45 (1 for Hell Knight),"Cutthroat Jungle (Totems), Hell Knight Starter",Pummel,Heartripper Tattoo,This creature deals 200% additional critical damage.
Zantai,Asura,Chaos,32,25,15,10,25,107,245,Defeat Lord Zantai at his portal,Quadhits,Zantai Tattoo,"When this creature Attacks, it Attacks a total of 4 times for 30% normal damage. It has a 10% chance to kill the target each time it deals critical damage."
Asura Gutslasher,Asura,Chaos,34,24,14,12,24,108,31,Cutthroat Jungle (Totems),Sidewinder,Gutslasher Tattoo,"After this creature deals critical damage, it has a 75% chance to attack again."
Asura Blooddrinker,Asura,Chaos,34,24,14,9,24,105,31,Cutthroat Jungle (Totems),Thirst For Blood,Blooddrinker Tattoo,"After your creatures deal critical damage, they recover Health equal to 100% of the damage dealt. This trait does not stack."
Siege Automaton,Automaton,Sorcery,34,19,19,19,19,110,64,Forgotten Lab (Inactive Automatons),Battle From Within,Siege Gear,"At the start of this creature's turn, it deals damage to enemies equal to 25% of its missing Health."
War Automaton,Automaton,Sorcery,33,18,18,18,18,105,64,Forgotten Lab (Inactive Automatons),Downturn,War Gear,"At the start of this creature's turn, it removes 1 buff from each enemy."
Cursed Automaton,Automaton,Sorcery,31,19,19,19,19,107,64,Forgotten Lab (Inactive Automatons),Euphoria,Cursed Gear,"At the start of this creature's turn, it reduces the enemies' Intelligence by 15% of this creature's Intelligence."
Decrepit Automaton,Automaton,Sorcery,32,17,20,20,20,109,64,Forgotten Lab (Inactive Automatons),Instigation,Decrepit Gear,"At the start of this creature's turn, it reduces the enemies' Defense by 15% of this creature's Defense."
Ancient Automaton,Automaton,Sorcery,34,19,19,19,19,110,64,Forgotten Lab (Inactive Automatons),Momentum,Ancient Gear,"At the start of this creature's turn, it reduces the enemies' Speed by 15% of this creature's Speed."
Arcane Automaton,Automaton,Sorcery,31,19,19,19,19,107,64,Forgotten Lab (Inactive Automatons),Motivation,Arcane Gear,"At the start of this creature's turn, it reduces the enemies' Attack by 15% of this creature's Attack."
Luxury Automaton,Automaton,Sorcery,31,19,19,19,19,107,64,Forgotten Lab (Inactive Automatons),Pandemic,Luxury Gear,"At the start of this creature's turn, it afflicts enemies with a random debuff."
Erebyss,Avatar,Death,38,18,18,18,18,110,245,Gate of the Gods,Avenged Sevenfold,No Material Exists,"After your creatures take damage from an attack or spell, they Cast a Scourge spell on the enemy. The type of Scourge spell is based on the enemy's class. This trait does not stack."
Mortem,Avatar,Death,38,18,18,17,17,108,245,Gate of the Gods,Blood Pact,No Material Exists,Your creatures deal additional damage equal to 5% of all the damage your creatures have dealt in the current battle. This trait does not stack.
Regalis,Avatar,Nature,37,17,17,20,20,111,245,Gate of the Gods,Brothel,No Material Exists,"At the start of battle, your other creatures with the same class as this creature share their innate trait with the creatures adjacent to them. This trait does not stack."
Gonfurian,Avatar,Chaos,38,18,18,17,18,109,245,Gate of the Gods,Eraser,No Material Exists,"After your creatures Attack, they reduce the target's Maximum Health by the same amount of damage dealt. This trait does not stack."
Perdition,Avatar,Life,38,18,18,17,18,109,245,Gate of the Gods,Euthanasia,No Material Exists,"After this creature damages an enemy below 50% Health, it Casts Death Siphon on it."
Zonte,Avatar,Sorcery,38,18,18,18,18,110,245,Gate of the Gods,Expanded Power,No Material Exists,Your creatures' damaging spells that have 'small' 'moderate' or 'large' potency now have 'massive' potency.
Vulcanar,Avatar,Chaos,38,18,18,18,18,110,245,Gate of the Gods,Firelord,No Material Exists,"When your creatures Attack, they deal 20% more damage for each time they've attacked in the current battle. This trait does not stack."
Torun,Avatar,Nature,36,16,16,19,19,106,245,Gate of the Gods,I HATE YOU !@#$ING ALL,No Material Exists,"AT THE END OF YOUR CREATURES' TURNS, THEY'LL SAY A LOT OF !@#$ED UP !@#$ TO THE ENEMIES. SINCE YOUR ENEMIES HAVE THE EMOTIONAL FORTITUDE OF A PIKACHU, THEY'LL CRY LIKE A BUNCH OF !@#$%ES AND DEAL 90% LESS DAMAGE. THIS TRAIT DOES NOT STACK, WHATEVER THE !@#$ THAT MEANS."
Tenebris,Avatar,Sorcery,38,18,18,18,18,110,245,Gate of the Gods,Lingering Essence,No Material Exists,This creature takes 18% less damage for each of its living allies. This trait does not work if another creature has this trait.
Vertraag,Avatar,Death,38,18,18,18,18,110,245,Gate of the Gods,Lune,No Material Exists,"After your creatures Cast a spell, they also Cast a random, powerful spell. This trait does not stack."
Meraxis,Avatar,Nature,36,16,19,19,19,109,245,Gate of the Gods,Marigold,No Material Exists,Your creatures' stats gained in battle are no longer subject to diminishing returns.
Aurum,Avatar,Sorcery,36,16,16,19,19,106,245,Gate of the Gods,Pandora,No Material Exists,"Your creatures can equip all Spell Gems, regardless of their class. After your creatures manually Cast a spell, they also Cast a random spell from their Spell Gem list from each other class."
Lister,Avatar,Life,38,18,18,17,17,108,245,Gate of the Gods,Perfect Imperfection,No Material Exists,"Your creatures deal 40% more damage and take 10% less damage for each turn they've taken in the current battle. At the start of battle, your creatures gain the Timewalk spell. This trait does not stack."
Aeolian,Avatar,Sorcery,38,18,18,18,18,110,245,Gate of the Gods,Periphery,No Material Exists,"Your creatures always dodge attacks and deal critical damage, but take 50% more damage. This trait does not stack."
Surathli,Avatar,Life,38,18,18,18,18,110,245,Gate of the Gods,Prayer Position,No Material Exists,"At the end of your creatures' turns, they Defend. Your creatures take 90% less damage while they're Defending. This trait does not stack."
Venedon,Avatar,Chaos,42,17,17,17,17,110,245,Gate of the Gods,Soul Reaver,No Material Exists,"After this creature damages an enemy, it steals their buffs and minions and gives them its debuffs. In addition, your creatures' buffs and minions last forever, and enemies' debuffs last forever."
Friden,Avatar,Death,38,18,18,17,18,109,245,Gate of the Gods,The Black,No Material Exists,"Enemies always have Poisoned, Blighted, Leeching, and Mending."
Tartarith,Avatar,Chaos,36,18,18,18,18,108,245,Gate of the Gods,The End,No Material Exists,"At the end of each enemy's turn, this creature deals damage to it equal to 40% of this creature's highest stat. This trait does not stack."
Caliban,Avatar,Chaos,38,18,18,18,18,110,245,Gate of the Gods,The Nether,No Material Exists,"At the start of your other creatures' turns, this creature performs an action depending on that creature's class. Chaos - Attack a random enemy. Death - Enemies are afflicted with a random debuff. Life - Your creatures gain a random buff. Nature - Your creatures gain 10% stats. Sorcery - Cast one of this creature's Spell Gems."
Yseros,Avatar,Life,42,17,17,17,17,110,245,Gate of the Gods,The Truth,No Material Exists,"Your creatures' Artifacts' Nether Stones are 100% more powerful, and their Nether Stones' Spell Gems have a 100% chance to activate. This trait does not stack."
Apocranox,Avatar,Nature,42,17,17,17,17,110,245,Gate of the Gods,Trick Shot,No Material Exists,"After this creature Attacks, it Casts 3 of its equipped Arrow spells."
Azural,Avatar,Sorcery,42,17,17,17,17,110,245,Gate of the Gods,Wintermaul,No Material Exists,"At the start of this creature's turn, it Casts Snowstorm. After your creatures Attack a Frozen enemy, they Cast Shatter on it. This trait does not stack."
Alexandria,Avatar,Death,38,18,18,18,18,110,245,Gate of the Gods,Boundless Creativity,No Material Exists,"After a creature gains or loses stats, its allies gain or lose 15% of those stats as well. This trait does not stack."
Anneltha,Avatar,Nature,38,18,18,18,18,110,245,Gate of the Gods,Grandiose,No Material Exists,"At the end of your creatures' turns, their turn counter increases by 3 additional turns. In addition, your creatures act as if they have 3 more buffs, debuffs, and minions than they actually have. This trait does not stack."
Ariamaki,Avatar,Nature,38,18,18,18,18,110,245,Gate of the Gods,Twilight Zone,No Material Exists,"Enemies deal damage with attacks and spells using their lowest stat, rather than their Attack or Intelligence. In addition, enemies take damage from attacks and spells based on their lowest stat, rather than Defense."
Genaros,Avatar,Chaos,38,18,18,18,18,110,245,Gate of the Gods,Surge of Vitality,No Material Exists,"After your creatures Attack or are Attacked, they gain 20% Maximum Health. This trait does not stack."
Muse,Avatar,Life,38,18,18,18,18,110,245,Gate of the Gods,"Better, Faster, Stronger",No Material Exists,"Your creatures' minions repeat their effects twice. If they don't have an effect that can be repeated, they are instead 100% more powerful. This trait does not affect Illusion. This trait does not stack."
Reclusa,Avatar,Death,38,18,18,18,18,110,245,Gate of the Gods,Speculation,No Material Exists,"When your creatures Attack or Cast a spell, they have a 100% chance to do so 1 additional time. This effect can occur repeatedly, but the chance decreases by a multiplicative 25% each time. This trait does not stack."
4080,Avatar,Chaos,38,18,18,18,18,110,245,Gate of the Gods,Robotic Armor,No Material Exists,"Your creatures are resistant to debuffs. After your creatures are afflicted with a debuff, they have a 50% chance to gain Immune. This trait does not stack."
Shallan,Avatar,Life,38,18,18,18,18,110,245,Gate of the Gods,Fae Dust,No Material Exists,Your creatures deal 5% more damage with attacks and spells and take 5% less damage (up to 90%) for each time they've Attacked or Cast a spell in the current battle. This trait does not stack.
T'mere M'rgo,Avatar,Sorcery,38,18,18,18,18,110,245,Gate of the Gods,Gemcutter,No Material Exists,Your creatures' Ultimate Spell Gems cannot be sealed and do not consume Charges. Your creatures are immune to Silenced.
Impaler Banshee,Banshee,Death,30,16,16,16,26,104,64,Ariamaki God Shop (Favor Rank 11),Empowered Bone Spear,Impaler Doll,"At the start of battle, this creature gains Bone Spear. When this creature Casts this spell, it Casts 1 additional time and ignores 25% of the target's Defense."
